countryName,CODE,data,deaths
Sao Tome and Principe,STP,2020/12/31,17
Sao Tome and Principe,STP,2021/12/31,57
Sao Tome and Principe,STP,2022/5/4,73
Saudi Arabia,SAU,2020/12/31,6223
Saudi Arabia,SAU,2021/12/31,8877
Saudi Arabia,SAU,2022/5/4,9094
Senegal,SEN,2020/12/31,410
Senegal,SEN,2021/12/31,1890
Senegal,SEN,2022/5/4,1966
Serbia,SRB,2020/12/31,3211
Serbia,SRB,2021/12/31,12714
Serbia,SRB,2022/5/4,16013
Seychelles,SYC,2020/12/31,0
Seychelles,SYC,2021/12/31,134
Seychelles,SYC,2022/5/4,166
Sierra Leone,SLE,2020/12/31,76
Sierra Leone,SLE,2021/12/31,123
Sierra Leone,SLE,2022/5/4,125
Singapore,SGP,2020/12/31,29
Singapore,SGP,2021/12/31,828
Singapore,SGP,2022/5/4,1340
Slovakia,SVK,2020/12/31,2138
Slovakia,SVK,2021/12/31,16635
Slovakia,SVK,2022/5/4,19943
Slovenia,SVN,2020/12/31,2697
Slovenia,SVN,2021/12/31,5589
Slovenia,SVN,2022/5/4,6602
Solomon Islands,SLB,2020/12/31,0
Solomon Islands,SLB,2021/12/31,0
Solomon Islands,SLB,2022/5/4,141
Somalia,SOM,2020/12/31,130
Somalia,SOM,2021/12/31,1333
Somalia,SOM,2022/5/4,1361
South Africa,ZAF,2020/12/31,28469
South Africa,ZAF,2021/12/31,91145
South Africa,ZAF,2022/5/4,100407
Spain,ESP,2020/12/31,50837
Spain,ESP,2021/12/31,89405
Spain,ESP,2022/5/4,104668
Sri Lanka,LKA,2020/12/31,204
Sri Lanka,LKA,2021/12/31,14979
Sri Lanka,LKA,2022/5/4,16507
Sudan,SDN,2020/12/31,1468
Sudan,SDN,2021/12/31,3331
Sudan,SDN,2022/5/4,4933
Suriname,SUR,2020/12/31,122
Suriname,SUR,2021/12/31,1189
Suriname,SUR,2022/5/4,1328
Sweden,SWE,2020/12/31,8727
Sweden,SWE,2021/12/31,15310
Sweden,SWE,2022/5/4,18772
Switzerland,CHE,2020/12/31,7873
Switzerland,CHE,2021/12/31,12217
Switzerland,CHE,2022/5/4,13719
Syria,SYR,2020/12/31,711
Syria,SYR,2021/12/31,2897
Syria,SYR,2022/5/4,3150
Taiwan*,TWN,2020/12/31,7
Taiwan*,TWN,2021/12/31,850
Taiwan*,TWN,2022/5/4,881
Tajikistan,TJK,2020/12/31,90
Tajikistan,TJK,2021/12/31,125
Tajikistan,TJK,2022/5/4,125
Thailand,THA,2020/12/31,61
Thailand,THA,2021/12/31,21698
Thailand,THA,2022/5/4,28860
Timor-Leste,TLS,2020/12/31,0
Timor-Leste,TLS,2021/12/31,122
Timor-Leste,TLS,2022/5/4,130
Togo,TGO,2020/12/31,68
Togo,TGO,2021/12/31,248
Togo,TGO,2022/5/4,273
Tonga,TON,2020/12/31,0
Tonga,TON,2021/12/31,0
Tonga,TON,2022/5/4,11
Trinidad and Tobago,TTO,2020/12/31,127
Trinidad and Tobago,TTO,2021/12/31,2869
Trinidad and Tobago,TTO,2022/5/4,3843
Tunisia,TUN,2020/12/31,4676
Tunisia,TUN,2021/12/31,25569
Tunisia,TUN,2022/5/4,28566
Turkey,TUR,2020/12/31,20881
Turkey,TUR,2021/12/31,82361
Turkey,TUR,2022/5/4,98808
Uganda,UKR,2020/12/31,251
Uganda,UKR,2021/12/31,3294
Uganda,UKR,2022/5/4,3597
Ukraine,ARE,2020/12/31,19281
Ukraine,ARE,2021/12/31,102088
Ukraine,ARE,2022/5/4,112459
United Arab Emirates,GBR,2020/12/31,669
United Arab Emirates,GBR,2021/12/31,2164
United Arab Emirates,GBR,2022/5/4,2302
United Kingdom,URY,2020/12/31,73621
United Kingdom,URY,2021/12/31,149096
United Kingdom,URY,2022/5/4,176188
Uruguay,USA,2020/12/31,181
Uruguay,USA,2021/12/31,6170
Uruguay,USA,2022/5/4,7210
US,UGA,2020/12/31,349854
US,UGA,2021/12/31,824338
US,UGA,2022/5/4,996704
Uzbekistan,UZB,2020/12/31,614
Uzbekistan,UZB,2021/12/31,1485
Uzbekistan,UZB,2022/5/4,1637
Vanuatu,VUT,2020/12/31,0
Vanuatu,VUT,2021/12/31,1
